train_loss,epoch,step,val_loss,val_acc
0.7251535058021545,0,49,,
0.7153736352920532,0,99,,
0.7851414084434509,0,149,,
0.7086392045021057,0,199,,
0.5111131072044373,0,249,,
0.6335452198982239,0,299,,
0.47249555587768555,0,349,,
0.7437524199485779,0,399,,
0.4776882529258728,0,449,,
0.5249515771865845,0,499,,
0.457685261964798,0,549,,
0.3361532986164093,0,599,,
0.44132524728775024,0,649,,
0.4934261441230774,0,699,,
0.32585591077804565,0,749,,
,0,749,0.48771336674690247,0.8305000066757202
0.46852147579193115,1,799,,
0.644960343837738,1,849,,
0.8292326331138611,1,899,,
0.5536601543426514,1,949,,
0.4732886850833893,1,999,,
0.49457117915153503,1,1049,,
0.6793795824050903,1,1099,,
0.6064202785491943,1,1149,,
0.4681237041950226,1,1199,,
0.514144778251648,1,1249,,
0.6588062644004822,1,1299,,
0.6547926068305969,1,1349,,
0.4894523024559021,1,1399,,
0.6267650127410889,1,1449,,
0.6041690111160278,1,1499,,
,1,1499,0.4844139516353607,0.8196666836738586
0.5663620829582214,2,1549,,
0.526905357837677,2,1599,,
0.6109081506729126,2,1649,,
0.318395733833313,2,1699,,
0.4838736355304718,2,1749,,
0.6781044602394104,2,1799,,
0.3291337192058563,2,1849,,
