train_loss,epoch,step,val_loss,val_acc
0.7577486038208008,0,49,,
0.7101414203643799,0,99,,
0.600296676158905,0,149,,
0.5473223328590393,0,199,,
0.7011845111846924,0,249,,
0.4245937764644623,0,299,,
0.3413882553577423,0,349,,
0.5009486675262451,0,399,,
0.5420602560043335,0,449,,
0.5347001552581787,0,499,,
0.37531885504722595,0,549,,
0.6420419216156006,0,599,,
0.4647161364555359,0,649,,
0.3149445652961731,0,699,,
0.5940093994140625,0,749,,
,0,749,0.4434753358364105,0.8329166769981384
0.44033515453338623,1,799,,
0.3773120641708374,1,849,,
0.43013396859169006,1,899,,
0.34891295433044434,1,949,,
0.4834362864494324,1,999,,
0.47465506196022034,1,1049,,
0.29595285654067993,1,1099,,
0.5325705409049988,1,1149,,
0.34020745754241943,1,1199,,
0.34287217259407043,1,1249,,
0.6627286672592163,1,1299,,
0.3737930953502655,1,1349,,
0.4841499924659729,1,1399,,
0.42729252576828003,1,1449,,
0.38850143551826477,1,1499,,
,1,1499,0.3937831223011017,0.8578333258628845
0.569323718547821,2,1549,,
0.429604172706604,2,1599,,
0.3384357988834381,2,1649,,
0.489826500415802,2,1699,,
0.7700567841529846,2,1749,,
0.4800010323524475,2,1799,,
0.3333420753479004,2,1849,,
0.48576974868774414,2,1899,,
0.6491288542747498,2,1949,,
0.35782381892204285,2,1999,,
0.3777061998844147,2,2049,,
0.35881584882736206,2,2099,,
0.3582904636859894,2,2149,,
0.3422844409942627,2,2199,,
0.23394203186035156,2,2249,,
,2,2249,0.37409552931785583,0.8640833497047424
