train_loss,epoch,step,val_loss,val_acc,test_loss,test_acc
0.7750318050384521,0,49,,,,
0.7742308974266052,0,99,,,,
0.6655045747756958,0,149,,,,
0.7392024397850037,0,199,,,,
0.7544571161270142,0,249,,,,
0.6991589665412903,0,299,,,,
0.5595774054527283,0,349,,,,
0.505854606628418,0,399,,,,
0.561066746711731,0,449,,,,
0.6951597332954407,0,499,,,,
0.7845432758331299,0,549,,,,
0.40797996520996094,0,599,,,,
0.8897391557693481,0,649,,,,
0.5426670908927917,0,699,,,,
0.654769778251648,0,749,,,,
,0,749,0.46666213870048523,0.8344166874885559,,
0.7561354637145996,1,799,,,,
0.4726231098175049,1,849,,,,
0.5818452835083008,1,899,,,,
0.5259037017822266,1,949,,,,
0.4548945724964142,1,999,,,,
0.5409283638000488,1,1049,,,,
0.4547955393791199,1,1099,,,,
0.40903112292289734,1,1149,,,,
0.6335907578468323,1,1199,,,,
0.509075939655304,1,1249,,,,
0.45275506377220154,1,1299,,,,
0.34221118688583374,1,1349,,,,
0.5121318101882935,1,1399,,,,
0.5072275996208191,1,1449,,,,
0.5822849869728088,1,1499,,,,
,1,1499,0.4628763794898987,0.8329166769981384,,
0.5024493932723999,2,1549,,,,
0.382636696100235,2,1599,,,,
0.44724810123443604,2,1649,,,,
0.6360070705413818,2,1699,,,,
0.4012492597103119,2,1749,,,,
0.3309817612171173,2,1799,,,,
0.6577125787734985,2,1849,,,,
0.39203572273254395,2,1899,,,,
0.5452125072479248,2,1949,,,,
0.43535906076431274,2,1999,,,,
0.4696227014064789,2,2049,,,,
0.4640241861343384,2,2099,,,,
0.4808127284049988,2,2149,,,,
0.5449779033660889,2,2199,,,,
0.36327314376831055,2,2249,,,,
,2,2249,0.4236984848976135,0.8428333401679993,,
,3,2250,,,0.4604172706604004,0.8355000019073486
