train_loss,epoch,step,val_loss,val_acc,test_loss,test_acc
0.708055853843689,0,49,,,,
0.7341151833534241,0,99,,,,
0.7867112755775452,0,149,,,,
0.7926995158195496,0,199,,,,
0.5598413944244385,0,249,,,,
0.6728737354278564,0,299,,,,
0.4629477858543396,0,349,,,,
0.4937911927700043,0,399,,,,
0.47179141640663147,0,449,,,,
0.9528940320014954,0,499,,,,
0.5618334412574768,0,549,,,,
0.6398642063140869,0,599,,,,
0.6977171301841736,0,649,,,,
0.577809751033783,0,699,,,,
0.6050713062286377,0,749,,,,
,0,749,0.4636479616165161,0.8327500224113464,,
0.35003697872161865,1,799,,,,
0.4198783338069916,1,849,,,,
0.4455101490020752,1,899,,,,
0.42248913645744324,1,949,,,,
0.2869303226470947,1,999,,,,
0.517033576965332,1,1049,,,,
0.3514537513256073,1,1099,,,,
0.6850051879882812,1,1149,,,,
0.2772340476512909,1,1199,,,,
0.3163388669490814,1,1249,,,,
0.4723980724811554,1,1299,,,,
0.657285213470459,1,1349,,,,
0.5465254187583923,1,1399,,,,
0.7746534943580627,1,1449,,,,
0.5793092846870422,1,1499,,,,
,1,1499,0.5120100378990173,0.8109999895095825,,
,2,1500,,,0.525520920753479,0.8069000244140625
